col_0,col_1,col_2,col_3,col_4
sp,1,f,y,3
it,2,f,b,1
it,1,f,r,2
sp,2,f,y,5
gr,2,m,g,2
gr,2,m,y,5
sp,0,m,g,5
gr,1,m,g,2
it,2,f,r,2
it,1,m,y,2
it,2,f,y,2
it,0,f,g,2
gr,2,m,g,4
it,0,f,g,2
it,1,f,y,1
it,0,f,b,3
gr,0,f,b,5
sp,0,f,y,2
sp,1,m,b,3
it,2,m,b,4
sp,1,m,r,5
sp,1,f,y,1
sp,0,m,g,4
it,2,m,g,3
it,0,f,r,5
sp,1,m,r,2
it,2,m,b,1
sp,2,f,y,1
sp,1,m,r,5
gr,2,f,b,1
sp,1,m,r,1
gr,1,m,y,4
it,1,f,b,4
it,1,f,g,2
gr,1,m,g,3
sp,0,m,y,3
it,2,m,g,2
sp,1,m,b,3
gr,0,m,g,2
it,1,m,r,3
it,1,f,g,4
sp,0,f,y,4
sp,0,f,g,5
gr,0,m,b,4
sp,0,f,b,3
it,2,f,g,1
it,2,m,g,5
it,0,m,b,1
it,0,m,b,1
it,0,f,b,3
it,0,m,r,2
sp,2,m,y,3
sp,1,m,r,1
it,2,f,r,5
sp,0,f,y,3
gr,2,f,y,2
gr,0,m,y,3
it,1,m,b,3
gr,0,f,g,1
gr,0,f,g,3
it,2,f,g,2
it,0,m,b,1
it,2,f,y,2
it,2,m,r,3
gr,1,f,g,4
gr,1,f,y,4
gr,1,f,b,2
it,0,f,g,2
gr,2,f,g,4
gr,2,f,b,2
gr,1,m,y,5
it,2,m,g,2
sp,1,m,g,4
it,0,m,r,3
it,0,f,g,4
sp,1,m,g,1
gr,1,m,r,4
gr,2,f,b,5
it,0,f,y,1
sp,1,m,r,2
it,2,f,b,1
gr,0,f,g,5
it,1,m,b,2
gr,2,f,b,5
it,2,m,r,1
it,1,f,y,2
sp,1,f,g,3
sp,0,m,y,5
it,1,m,g,3
sp,0,f,y,1
sp,0,m,r,1
it,1,m,y,3
gr,1,m,b,5
sp,0,f,r,4
gr,1,f,g,2
gr,2,f,b,2
it,2,f,b,1
gr,0,f,b,2
gr,0,f,r,2
gr,0,f,g,5
gr,2,m,b,3
it,1,f,g,3
gr,1,m,y,5
sp,1,m,r,4
sp,2,f,b,2
it,2,f,r,2
sp,2,m,g,1
gr,2,f,r,2
it,1,m,b,2
gr,0,f,g,1
sp,1,m,y,1
sp,2,m,g,5
it,1,f,r,1
sp,1,m,g,2
gr,1,m,y,2
gr,2,f,y,3
it,1,f,y,1
gr,1,m,b,5
sp,1,f,g,4
it,0,f,y,5
gr,2,m,r,3
gr,0,f,g,2
gr,0,f,r,1
gr,2,f,b,3
it,1,f,g,1
it,0,f,r,3
sp,1,f,r,4
it,0,f,y,3
sp,1,f,b,5
sp,2,f,r,4
it,1,m,g,1
sp,2,f,b,5
sp,1,m,g,5
sp,0,m,g,1
gr,1,m,g,5
sp,1,f,r,5
gr,0,f,r,3
sp,2,m,r,4
gr,1,f,y,3
sp,1,f,r,4
sp,0,f,g,3
it,1,f,g,4
gr,2,m,g,4
sp,2,m,b,2
sp,2,f,g,3
gr,0,m,b,2
it,2,f,b,1
gr,0,f,g,1
sp,1,m,r,5
sp,2,m,y,3
it,1,f,g,2
it,1,m,y,1
sp,0,f,g,4
sp,0,m,y,5
gr,0,m,g,5
gr,2,f,y,1
it,1,m,g,4
gr,0,m,b,2
it,1,m,y,1
gr,1,m,y,3
gr,0,f,b,4
sp,0,m,y,4
it,2,f,y,5
it,2,f,y,3
sp,1,f,g,2
sp,1,f,y,1
it,0,m,y,5
sp,2,m,r,4
sp,2,f,y,1
gr,1,f,y,4
gr,0,f,g,4
sp,1,f,g,1
it,1,m,r,3
gr,2,m,g,2
gr,1,f,r,5
it,0,m,y,1
sp,1,f,g,5
sp,2,f,g,3
sp,2,f,r,5
sp,1,f,r,3
it,0,f,y,3
sp,1,f,r,1
gr,1,m,b,5
sp,1,m,y,5
sp,0,f,r,2
sp,0,f,y,5
it,1,f,b,3
it,0,f,g,4
gr,2,f,r,2
it,0,f,r,5
sp,1,f,r,4
sp,2,m,g,5
it,0,f,g,4
sp,0,f,b,3
gr,0,f,r,3
sp,2,m,g,5
gr,1,m,g,1
sp,2,f,r,3
it,2,f,r,2
sp,0,m,y,2
sp,0,f,b,5
gr,1,m,r,4
gr,0,f,y,5
gr,0,f,b,2
it,1,m,b,5
it,1,f,g,2
gr,1,f,y,5
sp,0,f,b,1
gr,0,m,b,2
sp,0,m,y,3
gr,0,m,y,5
it,0,f,b,3
gr,1,f,y,3
it,0,f,g,2
sp,2,f,r,1
gr,2,f,r,4
it,2,f,r,1
gr,2,m,r,3
it,0,m,r,3
it,2,f,g,3
sp,1,m,y,4
sp,0,f,r,5
sp,2,m,g,3
gr,1,m,r,3
it,2,f,g,2
sp,1,f,y,3
gr,1,m,r,2
sp,0,m,b,3
it,1,f,y,5
gr,2,m,r,1
it,0,m,g,1
sp,1,m,b,1
sp,2,m,b,2
gr,0,f,g,2
gr,0,f,r,4
it,1,f,g,2
gr,1,m,g,1
it,2,f,y,2
gr,0,f,b,4
it,2,m,r,2
it,0,f,r,4
sp,1,m,y,3
it,2,m,r,5
it,1,f,y,5
sp,0,m,r,1
sp,2,m,y,3
it,2,m,g,4
it,2,m,b,3
it,2,m,g,3
sp,0,f,y,2
gr,2,m,r,4
sp,0,f,g,3
gr,0,f,r,3
it,0,f,y,4
gr,0,m,y,3
gr,1,m,y,4
gr,0,m,r,1
sp,2,f,b,3
sp,2,m,g,1
sp,0,f,b,4
it,1,m,r,4
gr,0,m,r,5
sp,0,m,y,1
gr,0,m,b,5
sp,2,m,g,2
sp,1,m,y,2
sp,0,f,b,3
it,1,m,r,1
sp,2,f,g,5
sp,0,m,r,3
it,2,m,y,4
it,2,m,b,1
sp,2,m,y,2
it,0,f,g,5
gr,0,m,y,5
sp,2,m,r,1
gr,1,f,b,1
it,0,f,g,3
it,1,f,b,5
gr,2,f,y,1
gr,0,m,y,4
gr,2,f,y,5
gr,0,m,r,2
it,0,m,b,4
gr,1,f,y,3
it,0,m,y,1
it,0,f,r,5
gr,2,f,g,4
sp,2,f,g,5
it,2,m,g,4
sp,1,f,g,2
gr,1,m,b,4
sp,2,f,b,3
gr,2,m,y,2
sp,1,m,y,5
gr,2,m,g,3
sp,1,m,r,5
it,1,f,r,2
it,2,f,g,5
gr,2,m,r,3
sp,1,m,y,1
it,2,m,y,4
gr,0,f,g,3
gr,0,m,b,5
gr,0,f,r,3
sp,1,m,r,4
it,0,f,y,3
it,2,m,b,4
gr,2,f,r,4
it,0,f,b,3
gr,0,m,r,5
it,0,m,y,5
it,2,f,b,4
it,1,m,b,1
gr,2,m,r,4
it,2,m,y,1
gr,0,m,b,2
it,1,m,r,2
gr,2,f,g,4
sp,0,f,y,3
sp,1,f,g,4
gr,2,f,r,2
gr,2,f,g,3
sp,0,f,y,3
gr,2,m,r,2
gr,0,m,r,3
sp,0,m,r,5
gr,1,m,b,2
sp,1,m,g,1
it,0,f,r,1
it,2,f,r,5
sp,0,m,b,4
it,1,m,y,4
sp,2,m,b,1
gr,2,m,r,2
it,2,m,b,3
gr,2,f,r,3
gr,2,f,b,2
sp,0,f,g,1
sp,0,f,r,4
gr,0,f,g,3
it,0,m,r,4
gr,2,f,b,5
gr,2,f,r,4
it,1,f,g,1
it,2,f,g,5
it,2,f,g,3
it,1,f,b,3
gr,1,f,b,3
gr,0,f,g,4
gr,1,f,r,2
sp,0,m,r,4
sp,2,m,r,5
sp,2,m,y,3
it,2,m,g,5
it,1,m,y,2
gr,1,f,b,2
it,0,f,y,1
sp,1,m,b,1
it,1,m,r,2
gr,1,f,g,2
it,0,f,y,3
gr,1,m,g,5
sp,1,m,r,3
it,0,m,r,2
it,0,m,r,3
sp,0,f,g,3
it,0,m,y,2
gr,1,f,y,4
gr,0,m,g,2
gr,2,f,g,5
it,1,m,y,3
it,1,f,y,3
sp,1,f,r,3
sp,2,f,b,2
it,2,f,y,3
gr,0,m,r,3
gr,1,m,g,4
it,2,f,b,5
sp,1,m,b,5
gr,2,f,r,4
sp,2,f,b,4
gr,2,f,g,2
sp,0,f,b,2
it,0,f,g,3
sp,1,f,g,1
it,2,f,b,3
gr,0,m,y,4
it,1,m,b,1
sp,1,m,r,4
sp,0,m,g,1
sp,1,f,y,3
gr,2,f,g,1
it,0,m,b,1
it,2,f,b,1
sp,1,m,r,2
gr,0,f,b,1
gr,2,m,y,1
sp,1,m,r,1
sp,1,f,g,1
it,0,f,g,4
gr,0,m,r,4
it,0,m,b,5
sp,0,f,b,1
it,0,m,b,1
it,2,m,g,2
gr,2,f,y,5
sp,2,m,b,3
it,2,m,y,3
it,1,f,g,4
sp,1,m,b,3
it,0,f,g,1
gr,2,f,b,5
gr,2,m,g,2
gr,2,m,g,3
it,1,f,y,4
gr,2,m,r,1
it,2,f,r,3
gr,0,m,g,4
sp,1,m,y,5
sp,0,f,r,2
gr,1,m,g,5
sp,2,m,g,4
it,2,f,r,1
sp,0,m,r,3
it,2,m,y,3
sp,1,m,r,3
it,2,m,g,1
gr,0,m,r,2
it,0,m,r,3
it,1,f,b,3
it,0,m,r,4
it,0,f,g,1
sp,0,f,r,3
it,1,m,y,2
it,0,f,y,2
sp,0,m,r,1
sp,2,m,r,1
sp,0,f,b,4
gr,1,m,y,3
it,2,m,g,2
gr,1,m,b,5
it,0,f,g,1
gr,2,f,r,2
gr,2,f,g,2
gr,1,m,g,4
it,1,f,r,4
gr,1,m,b,1
it,0,f,y,3
sp,2,f,y,3
it,1,m,b,3
it,1,f,b,4
gr,2,m,b,3
gr,0,f,g,2
it,1,m,r,1
it,2,m,y,5
gr,1,m,g,4
it,2,m,r,5
it,2,f,r,3
it,1,m,g,3
sp,2,f,g,5
gr,1,f,y,5
it,1,f,b,3
gr,2,f,r,1
gr,1,m,r,5
it,2,m,y,3
sp,1,f,b,3
sp,0,f,y,2
sp,2,m,g,3
sp,2,m,g,3
sp,1,m,r,3
it,2,m,y,2
gr,1,m,g,5
it,2,m,g,4
it,0,m,r,2
sp,0,m,r,3
sp,0,m,r,4
sp,0,m,y,1
sp,1,m,y,2
sp,1,m,y,4
sp,1,m,r,4
gr,2,f,b,4
it,2,f,y,5
it,0,f,r,3
it,2,m,g,1
gr,2,f,r,5
sp,2,f,y,2
it,1,m,g,1
gr,2,m,b,3
gr,2,m,y,3
gr,2,m,y,2
it,1,m,g,4
it,0,m,y,4
sp,0,f,r,4
it,0,m,g,2
gr,2,f,y,4
gr,2,f,g,5
it,0,m,g,5
gr,0,f,b,4
it,0,f,y,2
gr,2,m,y,5
it,2,m,y,4
sp,1,f,b,2
sp,2,m,g,1
gr,1,m,g,3
gr,2,m,b,1
sp,1,f,y,1
it,2,m,b,3
it,1,m,y,5
gr,0,m,g,1
gr,2,f,y,3
gr,1,f,y,5
it,2,f,g,5
it,0,m,b,3
gr,0,f,y,1
it,0,f,y,2
gr,2,f,b,4
gr,0,m,y,1
it,1,m,y,5
sp,1,f,r,5
it,0,m,b,5
it,2,m,b,1
it,1,f,b,3
sp,0,f,b,4
it,0,m,g,1
sp,0,m,b,3
sp,0,m,r,4
gr,1,m,r,3
sp,0,f,r,2
gr,1,f,r,1
gr,1,m,y,4
it,2,m,r,1
it,1,m,g,5
gr,0,m,g,2
gr,0,f,b,2
it,0,m,y,2
gr,2,m,y,5
gr,0,m,b,1
gr,0,m,g,4
it,0,f,y,2
sp,0,m,y,1
sp,2,f,b,2
sp,0,f,b,2
sp,1,m,g,5
it,0,m,y,2
gr,0,m,r,2
gr,1,m,g,1
sp,2,m,g,5
it,1,m,b,1
it,2,m,r,3
it,1,m,b,2
gr,2,f,y,3
sp,0,m,g,3
sp,1,f,r,4
it,1,m,y,3
sp,1,m,y,4
gr,1,m,r,3
gr,0,m,b,2
gr,1,m,r,5
sp,1,f,b,1
gr,2,m,y,1
sp,1,f,b,1
sp,0,f,g,5
gr,0,m,b,4
it,0,f,b,4
gr,2,m,r,3
gr,1,m,r,1
gr,2,m,r,2
gr,0,f,b,1
gr,2,f,g,1
sp,2,f,g,2
it,1,f,r,5
sp,0,m,g,2
sp,2,f,r,1
it,2,f,y,3
sp,0,f,r,4
gr,2,f,b,2
it,1,f,y,2
sp,1,f,r,5
gr,0,m,g,3
it,1,m,y,2
gr,0,f,b,5
it,0,f,b,3
it,0,f,g,2
gr,0,f,r,3
it,0,m,y,3
sp,0,f,g,1
it,0,f,g,2
it,1,f,y,3
it,0,m,b,2
sp,1,m,r,3
sp,0,m,b,4
it,2,m,b,1
it,2,m,y,5
sp,0,m,b,1
sp,2,f,b,3
it,0,m,y,4
it,2,f,b,2
gr,1,m,y,5
sp,1,f,g,3
gr,1,f,b,1
gr,2,m,g,4
sp,0,m,g,2
sp,1,m,y,2
gr,2,m,r,1
sp,1,m,r,5
sp,1,f,g,1
sp,2,m,b,2
it,0,m,y,3
gr,0,f,g,2
gr,0,f,b,5
sp,0,m,b,1
gr,0,f,b,2
it,1,m,r,5
sp,1,f,r,1
it,2,f,r,3
it,2,f,g,4
sp,1,m,g,5
gr,1,m,g,5
gr,0,m,y,4
it,2,f,b,2
gr,0,m,y,3
sp,2,f,y,5
gr,1,m,y,2
sp,2,m,y,1
gr,0,f,y,5
gr,1,m,b,2
it,0,f,b,2
it,0,m,r,1
gr,1,f,g,1
sp,0,m,r,2
it,0,m,g,3
it,0,f,r,4
sp,2,m,b,2
gr,1,f,b,2
sp,1,m,g,5
sp,0,m,b,5
it,1,m,b,4
it,1,f,r,1
sp,0,m,g,2
sp,0,m,b,4
it,0,f,r,3
sp,2,m,r,5
it,2,f,b,2
sp,0,m,g,2
gr,1,m,r,5
sp,1,f,y,3
gr,2,m,y,3
gr,1,f,b,4
sp,2,f,y,3
gr,2,f,g,4
gr,0,m,r,4
gr,0,m,b,5
gr,2,m,g,5
gr,2,f,r,4
gr,2,m,b,2
gr,0,f,y,4
sp,2,f,b,1
it,1,f,r,4
gr,0,m,g,2
sp,2,f,r,2
it,2,f,g,1
sp,0,m,g,5
it,0,m,y,3
gr,0,m,y,1
gr,0,m,r,4
gr,2,f,r,2
gr,0,m,r,5
gr,0,m,r,5
it,2,m,b,2
it,1,m,b,3
it,1,f,g,3
it,2,m,b,4
it,0,m,y,4
sp,1,m,g,1
it,2,m,b,2
gr,1,f,b,3
it,0,f,y,4
it,0,f,b,5
it,0,f,y,5
it,1,f,b,5
it,0,m,g,2
sp,2,m,y,3
gr,1,m,b,5
sp,1,f,b,3
gr,2,m,r,1
sp,0,m,y,1
it,0,f,r,5
sp,0,m,r,2
sp,0,m,g,3
it,1,f,g,5
it,1,f,b,1
it,2,f,y,5
sp,1,f,r,5
gr,2,f,r,1
it,2,m,b,1
it,1,m,b,5
sp,2,m,b,4
sp,2,m,g,2
gr,2,m,b,1
sp,1,f,y,4
gr,0,m,b,5
gr,1,m,b,5
it,1,f,y,5
gr,0,f,b,5
gr,1,f,r,3
sp,0,f,y,5
gr,2,m,b,5
it,2,f,r,3
it,1,m,y,2
it,2,m,r,5
gr,1,f,g,5
it,2,m,r,2
sp,1,f,g,2
sp,2,m,y,4
it,0,m,b,2
gr,2,f,y,4
it,1,f,r,3
it,2,f,y,5
gr,2,f,b,5
it,1,f,g,5
gr,2,f,b,3
it,0,m,r,3
gr,0,f,r,3
sp,1,m,b,4
it,0,f,r,4
it,1,m,r,5
it,2,f,g,5
gr,2,f,y,4
gr,1,m,b,4
sp,2,f,r,4
gr,0,f,b,2
gr,0,m,r,1
gr,1,m,b,4
sp,2,m,b,3
it,2,f,y,1
gr,2,m,b,5
it,2,m,g,3
sp,1,m,y,2
sp,1,f,r,3
gr,0,f,y,2
it,2,m,y,1
sp,2,f,r,3
gr,2,f,r,1
it,2,f,b,2
gr,2,f,g,1
it,2,m,r,1
gr,2,f,r,3
it,0,f,g,2
gr,0,m,r,3
gr,2,f,b,2
it,1,m,g,2
sp,0,f,g,4
it,2,f,r,3
gr,2,m,b,5
gr,2,m,y,4
it,1,f,y,4
sp,0,f,g,5
sp,0,f,r,4
it,0,m,b,2
sp,0,m,b,2
it,2,m,g,5
sp,1,m,y,5
it,2,f,r,3
gr,2,m,r,5
gr,0,f,g,1
sp,2,f,r,5
it,2,f,g,1
it,1,m,y,3
gr,1,m,b,3
sp,1,f,r,5
gr,1,f,y,1
sp,2,m,g,3
sp,0,m,y,3
gr,2,m,y,4
gr,1,m,y,4
gr,2,f,g,3
gr,2,f,r,4
it,2,m,g,4
it,1,f,r,5
gr,0,m,r,2
it,1,f,r,4
sp,0,m,r,5
gr,1,f,y,3
sp,0,m,b,2
gr,2,m,y,4
it,2,m,r,3
gr,1,m,g,2
gr,2,m,g,5
gr,0,m,y,3
it,2,m,b,3
gr,2,f,r,5
gr,2,m,b,5
sp,1,m,r,3
gr,2,f,b,3
gr,1,f,r,3
sp,0,m,b,1
gr,0,f,y,2
it,1,m,g,2
sp,0,m,b,2
sp,1,m,g,1
it,1,m,r,3
sp,0,f,b,2
it,0,f,r,2
gr,2,f,r,5
gr,0,f,g,2
gr,1,m,b,5
gr,0,m,g,4
it,2,m,r,1
gr,1,m,g,4
it,0,m,g,4
it,2,f,b,2
gr,1,m,g,5
gr,1,m,y,3
it,0,f,r,2
it,0,f,b,5
gr,2,f,g,1
sp,0,m,r,1
gr,1,f,y,3
it,0,m,g,1
sp,2,f,b,5
sp,2,m,r,1
sp,0,f,g,5
sp,2,f,r,4
it,0,m,g,3
gr,1,f,r,5
sp,2,m,b,1
gr,1,f,r,3
sp,0,m,r,4
gr,0,f,g,2
sp,2,f,r,2
gr,2,f,b,3
it,2,f,y,4
it,1,m,g,5
sp,0,f,y,4
sp,0,f,r,5
gr,2,m,r,3
gr,1,m,g,2
it,2,f,b,5
gr,1,m,b,5
sp,2,m,g,1
it,1,m,g,2
gr,2,m,g,1
sp,1,m,r,2
it,1,f,y,1
gr,0,f,b,1
gr,0,m,r,5
gr,2,m,g,5
sp,0,f,b,4
gr,2,f,y,1
gr,1,m,y,2
it,0,f,y,2
gr,0,m,y,3
it,1,m,g,4
it,0,m,y,3
gr,1,m,r,3
it,2,m,g,5
gr,1,f,r,5
it,2,m,y,4
gr,2,m,r,4
it,2,f,y,5
gr,0,m,r,3
gr,0,m,y,2
gr,2,f,g,4
sp,0,m,y,1
it,0,m,b,4
it,0,m,r,4
gr,2,f,g,3
gr,0,m,y,2
it,2,f,y,4
gr,2,f,r,5
gr,2,m,g,3
it,1,f,b,5
sp,2,m,r,4
it,1,f,b,1
it,2,m,g,4
sp,0,m,y,2
it,2,f,r,4
it,1,f,y,5
it,0,f,r,1
it,1,f,y,5
it,2,f,y,2
gr,1,f,y,1
gr,1,m,y,4
sp,2,f,y,3
sp,2,f,y,3
gr,0,f,r,1
sp,2,f,r,2
it,1,m,b,2
it,0,m,g,5
sp,1,f,y,5
gr,1,m,r,2
sp,2,m,b,3
gr,1,m,r,5
gr,0,m,r,2
sp,0,f,r,5
gr,0,f,y,1
gr,0,f,y,4
gr,1,f,y,2
gr,0,f,r,5
it,2,f,y,4
gr,0,m,b,3
it,1,m,r,5
it,1,f,g,3
it,1,m,y,2
sp,0,f,g,2
sp,0,f,r,3
it,0,m,b,2
gr,2,f,g,1
gr,2,m,r,5
gr,1,m,y,5
gr,0,m,b,1
it,0,m,r,3
it,2,f,g,3
gr,1,f,b,2
sp,0,m,y,4
it,1,m,r,2
gr,0,m,b,5
sp,1,f,b,2
it,0,f,r,1
sp,0,m,y,1
gr,1,f,b,3
gr,2,f,b,3
sp,2,f,r,2
gr,1,f,g,4
sp,1,m,b,5
gr,2,f,b,3
sp,2,m,y,5
sp,1,m,g,1
gr,2,m,y,3
it,2,f,b,5
gr,1,m,y,5
sp,2,f,r,4
gr,2,f,r,3
sp,0,m,y,1
sp,1,m,b,3
it,2,f,r,1
sp,0,f,g,3
sp,1,f,g,1
it,2,f,r,2
sp,2,m,g,4
gr,1,m,r,2
gr,0,f,y,1
it,0,m,y,5
it,2,m,b,3
sp,2,f,r,2
gr,0,f,y,3
it,0,m,y,2
gr,1,f,b,3
sp,1,f,b,2
sp,2,m,y,3
gr,1,f,r,1
gr,1,f,g,3
sp,1,f,y,5
gr,1,f,y,5
it,0,f,r,5
it,1,f,r,1
sp,2,m,y,5
gr,0,m,b,2
sp,0,m,r,3
gr,0,f,b,1
it,1,m,g,5
gr,0,m,b,1
sp,2,f,r,4
sp,2,f,y,2
sp,1,f,b,1
gr,1,m,r,2
it,1,m,g,3
gr,1,m,b,2
gr,1,f,g,4
sp,0,f,r,2
it,2,f,b,2
it,2,f,r,4
it,1,f,g,1
it,0,m,r,4
sp,2,f,g,5
it,0,m,r,1
sp,1,m,r,5
it,2,f,b,2
it,0,m,g,1
sp,0,f,g,2
it,1,f,r,5
sp,0,f,r,2
gr,0,f,y,5
gr,2,m,r,3
sp,2,m,y,3
it,2,m,b,4
sp,0,m,y,3
sp,1,f,y,4
sp,0,f,r,2
gr,2,f,r,3
sp,0,f,g,5
gr,2,f,g,4
gr,1,m,b,4
sp,0,m,r,5
gr,1,f,y,2
it,2,m,g,1
it,1,f,g,4
gr,0,f,b,4
gr,0,m,y,2
sp,2,m,r,3
it,2,f,y,5
gr,2,f,g,1
sp,0,m,y,3
sp,2,m,y,5
gr,1,m,g,4
gr,0,m,y,5
gr,0,m,r,5
sp,2,f,y,4
it,1,m,r,5
sp,0,f,g,1
sp,1,f,y,3
it,0,m,g,2
gr,1,m,y,1
gr,1,f,b,4
it,1,m,g,2
it,1,m,r,1
it,0,f,b,5
sp,2,f,y,1
sp,0,m,g,4
sp,2,f,r,5
sp,0,m,y,4
gr,0,m,g,3
gr,0,f,b,3
it,2,m,b,1
it,1,m,r,3
gr,0,f,g,4
it,0,m,b,5
gr,2,m,g,4
sp,2,f,g,3
it,2,f,y,3
it,0,f,g,1
it,2,m,y,1
sp,1,f,r,2
sp,2,m,b,5
sp,2,f,y,4
sp,0,f,r,5
sp,1,m,g,1
sp,2,f,y,3
sp,0,m,r,4
it,2,f,g,5
sp,2,f,y,5
gr,2,m,y,2
sp,0,f,b,3
sp,2,m,r,4
sp,1,f,r,2
gr,2,f,b,1
sp,2,m,b,1
gr,1,m,g,4
it,1,f,y,1
it,2,f,g,4
it,2,f,y,5
it,1,m,r,2
sp,2,m,y,4
gr,2,f,r,2
sp,1,m,b,4
gr,0,m,y,4
sp,1,m,g,1
gr,0,m,g,1
sp,2,m,b,2
sp,1,f,r,2
gr,0,f,y,5
sp,0,f,b,5
gr,0,f,y,5
it,1,f,r,3
it,0,f,g,4
sp,0,m,g,1
sp,2,f,g,1
sp,0,m,y,5
sp,0,f,b,5
it,1,f,r,5
it,2,m,b,4
gr,2,f,r,1
it,2,f,y,3
sp,2,f,b,5
sp,0,f,r,1
sp,2,f,r,3
it,1,f,g,3
sp,2,f,r,4
sp,2,m,b,3
gr,2,m,y,3
it,0,f,b,4
it,0,m,g,5
sp,0,m,b,2
sp,0,m,r,1
it,1,f,g,3
it,1,m,y,2
it,2,f,b,4
gr,0,m,r,5
it,0,m,g,3
sp,2,f,b,2
sp,2,m,b,2
sp,0,m,y,1
it,2,m,g,3
gr,2,f,r,3
sp,2,m,g,4
sp,0,m,y,5
it,0,f,g,1
it,2,m,g,2
gr,1,m,g,2
gr,1,f,b,5
sp,0,m,r,3
gr,2,m,y,4
it,0,f,r,2
sp,1,m,y,5
sp,2,m,g,3
sp,1,f,r,2
gr,1,f,g,3
sp,0,f,y,1
it,0,f,y,2
sp,2,m,r,4
gr,2,f,g,4
it,2,f,b,5
sp,2,f,r,2
it,0,f,b,5
gr,2,f,y,2
gr,2,m,b,2
sp,2,f,y,4
sp,2,m,b,5
it,1,f,r,2
gr,0,f,r,1
sp,2,m,y,3
gr,2,m,y,5
gr,2,f,y,3
it,0,m,b,1
sp,2,m,g,4
sp,1,m,g,1
sp,0,m,g,5
gr,1,m,b,4
it,1,f,g,4
it,1,m,y,3
gr,1,f,y,1
it,2,m,y,3
it,2,f,g,1
sp,0,m,y,1
gr,1,m,y,2
it,0,f,y,4
it,0,f,g,4
it,0,f,r,5
sp,0,m,b,2
it,1,f,b,5
gr,2,m,g,1
sp,2,f,r,3
sp,1,f,r,2
it,0,f,g,5
gr,2,f,b,3
sp,0,m,b,4
it,0,m,r,5
it,1,m,r,4
sp,2,m,g,1
gr,2,m,r,1
sp,1,m,g,5
it,1,m,b,5
it,0,f,r,3
it,2,f,y,1
gr,2,f,b,4
it,2,f,r,5
sp,2,m,y,1
sp,1,f,b,1
sp,2,f,b,2
it,1,m,r,2
gr,0,m,r,5
sp,1,f,g,1
it,2,f,g,4
it,0,m,y,1
gr,2,m,r,4
sp,1,m,y,3
it,1,f,y,4
sp,0,f,r,1
gr,1,f,g,3
it,0,f,g,1
it,0,f,y,5
sp,2,f,r,2
it,1,m,y,1
sp,1,m,b,2
sp,2,m,b,5
gr,1,f,r,2
sp,1,m,g,3
sp,0,m,r,5
gr,2,f,y,5
it,1,m,y,2
gr,0,f,r,1
sp,2,f,g,2
sp,2,m,y,2
it,0,f,b,3
sp,1,m,r,2
gr,2,m,r,1
sp,2,f,y,2
it,1,m,y,3
sp,1,f,y,2
it,0,m,y,5
gr,2,f,b,4
it,0,f,b,5
gr,2,m,r,3
it,0,f,y,3
it,1,m,r,2
it,2,m,y,3
gr,2,m,b,4
it,2,f,y,1
it,1,f,r,4
it,1,f,r,2
it,2,f,y,1
it,1,m,b,3
sp,0,m,r,2
gr,1,f,r,1
sp,0,f,g,5
it,1,f,y,2
sp,2,m,b,2
gr,2,f,y,4
it,1,f,b,5
it,2,m,y,2
gr,1,m,b,3
gr,2,m,g,2
it,1,f,r,3
gr,0,m,r,4
it,0,m,r,1
it,2,f,b,2
it,2,f,y,1
sp,0,m,b,4
sp,2,f,y,2
gr,0,f,y,3
gr,2,m,g,4
gr,1,f,y,2
sp,2,f,y,5
it,1,m,g,1
it,0,f,b,4
sp,2,m,b,4
gr,0,m,g,1
it,1,f,b,3
gr,2,m,y,5
gr,0,f,y,4
it,2,m,y,2
it,0,m,g,1
it,0,f,y,1
it,0,m,g,1
it,1,f,r,3
gr,2,f,r,5
it,0,m,r,3
sp,1,f,r,5
gr,1,m,g,2
sp,0,f,r,5
it,2,m,b,1
it,0,f,r,2
gr,0,m,r,5
sp,2,f,r,1
sp,2,f,b,5
sp,0,f,b,3
sp,1,f,y,4
sp,0,m,g,4
sp,1,f,g,2
gr,1,f,r,5
it,1,m,r,2
gr,1,f,g,3
it,2,f,y,4
sp,0,f,y,3
gr,1,f,y,4
it,1,f,y,4
gr,2,f,r,2
gr,2,f,y,2
it,1,m,b,3
sp,0,f,r,5
it,2,f,b,1
it,1,f,b,2
sp,2,m,y,3
gr,2,f,r,2
gr,1,f,b,5
it,1,f,b,3
sp,1,f,r,1
it,2,f,g,5
sp,2,f,g,1
sp,2,m,b,5
it,2,m,g,4
sp,2,f,g,5
it,1,f,b,1
sp,2,f,y,2
gr,0,f,g,1
it,1,f,r,3
sp,0,m,r,5
sp,2,f,g,3
it,0,m,g,2
sp,0,f,g,1
gr,2,f,r,5
it,0,f,y,3
it,2,f,g,1
sp,0,m,r,4
gr,0,f,b,1
sp,1,f,b,5
gr,0,f,g,4
it,0,f,y,1
gr,2,m,b,5
it,1,f,b,5
it,1,f,y,2
it,2,m,b,5
sp,2,f,g,1
sp,1,m,y,2
gr,1,m,g,4
sp,2,f,y,4
sp,1,m,g,1
gr,0,m,y,2
it,1,m,b,4
sp,1,f,r,3
it,2,m,y,4
it,0,f,r,2
gr,1,m,y,5
sp,0,m,y,3
sp,1,m,y,5
sp,0,f,y,5
it,1,m,r,1
sp,1,f,r,2
sp,1,f,y,2
gr,1,f,g,4
gr,2,m,g,3
